,Date,Open,High,Low,Close,Volume,Volume MA,Daily_Returns
6920,1523343600,1.23155,1.23353,1.23092,1.23304,14095,5881.65,0.0012098574966505904
6921,1523347200,1.23304,1.2331,1.23123,1.232505,11537,5873.1,-0.0004338869785245336
6922,1523350800,1.232505,1.2331,1.23192,1.23216,6723,5705.2,-0.0002799177285285337
6923,1523354400,1.23216,1.23282,1.2318,1.232495,6681,5447.1,0.0002718802752887939
6924,1523358000,1.232495,1.2378,1.23208,1.235985,21285,6076.25,0.0028316544894706475
6925,1523361600,1.235985,1.23651,1.23409,1.234885,11495,6337.6,-0.0008899784382495612
6926,1523365200,1.234885,1.23684,1.23458,1.236495,11799,6614.8,0.001303765127926848
6927,1523368800,1.236495,1.23668,1.2346,1.235005,12063,6915.6,-0.0012050190255520343
6928,1523372400,1.235005,1.23606,1.2324,1.233745,15860,7395.7,-0.0010202387844582272
6929,1523376000,1.233745,1.2348,1.23365,1.234005,7895,7707.4,0.00021074046905966703
6930,1523379600,1.234005,1.23587,1.234,1.234615,8029,8047.1,0.000494325387660588
6931,1523383200,1.234615,1.23616,1.2344,1.236045,7613,8348.05,0.0011582558125406983
6932,1523390400,1.235405,1.23568,1.23524,1.235635,1219,8457.3,-0.0003317031337856102
6933,1523404800,1.236295,1.23654,1.23582,1.236075,4032,8038.5,0.00035609221169674576
6934,1523412000,1.23544,1.2363,1.23544,1.23584,2969,7742.65,-0.000190117913557053
6935,1523422800,1.23642,1.237,1.236255,1.236505,2937,6445.15,0.0005380955463489823
6936,1523426400,1.236505,1.23818,1.23626,1.237615,8399,6531.05,0.0008976914771876565
6937,1523430000,1.237615,1.23876,1.23718,1.237655,12725,6103.05,3.232022882726504e-05
6938,1523433600,1.237655,1.23772,1.23623,1.2377,8307,5943.65,3.635908229671081e-05
6939,1523437200,1.2377,1.23792,1.2362,1.2378,7367,5722.05,8.079502302660302e-05
6940,1523440800,1.2378,1.23845,1.2368,1.23748,6839,5460.85,-0.0002585231862983761
6941,1523444400,1.23748,1.23886,1.23704,1.23754,12608,5298.25,4.8485632091255226e-05
6942,1523448000,1.23754,1.23975,1.23732,1.23752,13121,5559.55,-1.6161093782884883e-05
6943,1523451600,1.23752,1.23808,1.23682,1.237505,9687,5642.45,-1.2121016225941084e-05
6944,1523455200,1.237505,1.2393,1.23728,1.2384,13634,5943.5,0.0007232294010932616
